N,a,z2
-18.096,1.3835888563526682e-08,3.828636246846569e-18
-18.089,1.393307955507893e-08,3.8826141177631694e-18
-18.082,1.4030953270317108e-08,3.937352993476448e-18
-18.075,1.4129514505072949e-08,3.992863602981337e-18
-18.068,1.4228768088866571e-08,4.049156826534953e-18
-18.061,1.4328718885143542e-08,4.106243697789384e-18
-18.054,1.4429371791512828e-08,4.1641354059541226e-18
-18.047,1.4530731739986928e-08,4.222843297989271e-18
-18.04,1.4632803697223702e-08,4.282378880829673e-18
-18.033,1.4735592664769371e-08,4.342753823640098e-18
-18.026,1.4839103679304019e-08,4.403979960102681e-18
-18.019,1.4943341812888013e-08,4.466069290736144e-18
-18.012,1.5048312173210707e-08,4.529033985248031e-18
-18.005,1.5154019903840864e-08,4.5928863849201015e-18
-17.998,1.5260470184478323e-08,4.657639005027038e-18
-17.991,1.536766823120825e-08,4.7233045372897464e-18
-17.984,1.5475619296756266e-08,4.7898958523626985e-18
-17.977,1.55843286707463e-08,4.8574260023569034e-18
-17.97,1.5693801679959372e-08,4.925908223397913e-18
-17.963,1.5804043688594777e-08,4.995355938220248e-18
-17.956,1.591506009853311e-08,5.065782758798414e-18
-17.948999999999998,1.6026856349600616e-08,5.1372024890146715e-18
-17.942,1.6139437919835906e-08,5.209629127364743e-18
-17.935,1.6252810325758564e-08,5.283076869701684e-18
-17.928,1.636697912263905e-08,5.357560112018049e-18
-17.921,1.6481949904771364e-08,5.4330934532678554e-18
-17.914,1.6597728305746727e-08,5.509691698227723e-18
-17.907,1.6714319998730062e-08,5.587369860398954e-18
-17.9,1.6831730696737596e-08,5.666143164949974e-18
-17.893,1.6949966152916968e-08,5.746027051700616e-18
-17.886,1.70690321608293e-08,5.8270371781485e-18
-17.879,1.718893455473269e-08,5.909189422537671e-18
-17.872,1.7309679209868547e-08,5.9924998869711084e-18
-17.865,1.743127204274907e-08,6.076984900566508e-18
-17.858,1.7553719011447342e-08,6.1626610226569566e-18
-17.851,1.7677026115889448e-08,6.249545046036752e-18
-17.844,1.7801199398148054e-08,6.337654000252533e-18
-17.837,1.792624494273896e-08,6.4270051549414835e-18
-17.83,1.805216887691881e-08,6.517616023215923e-18
-17.823,1.817897737098551e-08,6.609504365096066e-18
-17.816,1.830667663858077e-08,6.702688190991178e-18
-17.809,1.843527293699412e-08,6.7971857652293565e-18
-17.802,1.8564772567470045e-08,6.893015609637767e-18
